Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation
To learn more about a language or a culture,Budget,Food,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To learn more about a language or a culture,Budget,Landscapes,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To learn more about a language or a culture,Budget,Shop,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To relax and escape work and responsibilities,Budget,Food,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To relax and escape work and responsibilities,Budget,Landscapes,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To relax and escape work and responsibilities,Budget,Shop,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To spend quality time with family/friends,Budget,Food,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To spend quality time with family/friends,Budget,Landscapes,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To spend quality time with family/friends,Budget,Shop,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To look at and appreciate beautiful places,Budget,Food,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To look at and appreciate beautiful places,Budget,Landscapes,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To look at and appreciate beautiful places,Budget,Shop,An all-inclusive resort,4,Female,Yes,7,5,3,5,3,United Kingdom/Ireland
To relax and escape work and responsibilities,Safety,Volunteer,An overnight backpacking trip on a volcano,2,Male,Yes,5,6,4,7,1,Morocco/Tunisia/Senegal
To spend quality time with family/friends,Safety,Volunteer,An overnight backpacking trip on a volcano,2,Male,Yes,5,6,4,7,1,Morocco/Tunisia/Senegal
To explore architecture and history,Safety,Volunteer,An overnight backpacking trip on a volcano,2,Male,Yes,5,6,4,7,1,Morocco/Tunisia/Senegal
To look at and appreciate beautiful places,Safety,Volunteer,An overnight backpacking trip on a volcano,2,Male,Yes,5,6,4,7,1,Morocco/Tunisia/Senegal
To share travel stories and view with friends and family back home,Safety,Volunteer,An overnight backpacking trip on a volcano,2,Male,Yes,5,6,4,7,1,Morocco/Tunisia/Senegal
To meet new people,Variety of activities at destination,Vineyards,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To meet new people,Variety of activities at destination,Safari,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To meet new people,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To meet new people,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To meet new people,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To meet new people,Variety of activities at destination,Road Trip,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To meet new people,Variety of activities at destination,Zip Line,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To see the wonders of nature,Variety of activities at destination,Vineyards,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To see the wonders of nature,Variety of activities at destination,Safari,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To see the wonders of nature,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To see the wonders of nature,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To see the wonders of nature,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To see the wonders of nature,Variety of activities at destination,Road Trip,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To see the wonders of nature,Variety of activities at destination,Zip Line,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To learn more about a language or a culture,Variety of activities at destination,Vineyards,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To learn more about a language or a culture,Variety of activities at destination,Safari,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To learn more about a language or a culture,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To learn more about a language or a culture,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To learn more about a language or a culture,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To learn more about a language or a culture,Variety of activities at destination,Road Trip,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To learn more about a language or a culture,Variety of activities at destination,Zip Line,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Variety of activities at destination,Vineyards,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Variety of activities at destination,Safari,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Variety of activities at destination,Road Trip,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Variety of activities at destination,Zip Line,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To spend quality time with family/friends,Variety of activities at destination,Vineyards,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To spend quality time with family/friends,Variety of activities at destination,Safari,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To spend quality time with family/friends,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To spend quality time with family/friends,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To spend quality time with family/friends,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To spend quality time with family/friends,Variety of activities at destination,Road Trip,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To spend quality time with family/friends,Variety of activities at destination,Zip Line,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To go on an adventure,Variety of activities at destination,Vineyards,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To go on an adventure,Variety of activities at destination,Safari,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To go on an adventure,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To go on an adventure,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To go on an adventure,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To go on an adventure,Variety of activities at destination,Road Trip,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To go on an adventure,Variety of activities at destination,Zip Line,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Variety of activities at destination,Vineyards,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Variety of activities at destination,Safari,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Variety of activities at destination,Surf,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Variety of activities at destination,Hike,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Variety of activities at destination,Island,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Variety of activities at destination,Road Trip,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Variety of activities at destination,Zip Line,An overnight backpacking trip on a volcano,5,Male,Yes,6,5,7,6,3,South Africa/Kenya/Namibia
To see the wonders of nature,Variety of activities at destination,Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To see the wonders of nature,Variety of activities at destination,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To see the wonders of nature,Variety of activities at destination,Street Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To see the wonders of nature,Variety of activities at destination,Sightsee,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To see the wonders of nature,Variety of activities at destination,Photography,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To learn more about a language or a culture,Variety of activities at destination,Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To learn more about a language or a culture,Variety of activities at destination,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To learn more about a language or a culture,Variety of activities at destination,Street Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To learn more about a language or a culture,Variety of activities at destination,Sightsee,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To learn more about a language or a culture,Variety of activities at destination,Photography,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To relax and escape work and responsibilities,Variety of activities at destination,Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To relax and escape work and responsibilities,Variety of activities at destination,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To relax and escape work and responsibilities,Variety of activities at destination,Street Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To relax and escape work and responsibilities,Variety of activities at destination,Sightsee,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To relax and escape work and responsibilities,Variety of activities at destination,Photography,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To spend quality time with family/friends,Variety of activities at destination,Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To spend quality time with family/friends,Variety of activities at destination,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To spend quality time with family/friends,Variety of activities at destination,Street Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To spend quality time with family/friends,Variety of activities at destination,Sightsee,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To spend quality time with family/friends,Variety of activities at destination,Photography,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To explore architecture and history,Variety of activities at destination,Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To explore architecture and history,Variety of activities at destination,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To explore architecture and history,Variety of activities at destination,Street Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To explore architecture and history,Variety of activities at destination,Sightsee,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To explore architecture and history,Variety of activities at destination,Photography,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To go on an adventure,Variety of activities at destination,Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To go on an adventure,Variety of activities at destination,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To go on an adventure,Variety of activities at destination,Street Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To go on an adventure,Variety of activities at destination,Sightsee,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To go on an adventure,Variety of activities at destination,Photography,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To look at and appreciate beautiful places,Variety of activities at destination,Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To look at and appreciate beautiful places,Variety of activities at destination,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To look at and appreciate beautiful places,Variety of activities at destination,Street Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To look at and appreciate beautiful places,Variety of activities at destination,Sightsee,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To look at and appreciate beautiful places,Variety of activities at destination,Photography,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To share travel stories and view with friends and family back home,Variety of activities at destination,Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To share travel stories and view with friends and family back home,Variety of activities at destination,Shop,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To share travel stories and view with friends and family back home,Variety of activities at destination,Street Food,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To share travel stories and view with friends and family back home,Variety of activities at destination,Sightsee,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To share travel stories and view with friends and family back home,Variety of activities at destination,Photography,A hang gliding ride over a lush field,4,Female,Yes,6,5,4,5,5,Japan/South Korea
To see the wonders of nature,Budget,Family,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To see the wonders of nature,Budget,Explore,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To see the wonders of nature,Budget,Culture,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To learn more about a language or a culture,Budget,Family,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To learn more about a language or a culture,Budget,Explore,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To learn more about a language or a culture,Budget,Culture,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To relax and escape work and responsibilities,Budget,Family,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To relax and escape work and responsibilities,Budget,Explore,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To relax and escape work and responsibilities,Budget,Culture,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To spend quality time with family/friends,Budget,Family,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To spend quality time with family/friends,Budget,Explore,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To spend quality time with family/friends,Budget,Culture,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To go on an adventure,Budget,Family,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To go on an adventure,Budget,Explore,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To go on an adventure,Budget,Culture,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To look at and appreciate beautiful places,Budget,Family,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To look at and appreciate beautiful places,Budget,Explore,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To look at and appreciate beautiful places,Budget,Culture,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To share travel stories and view with friends and family back home,Budget,Family,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To share travel stories and view with friends and family back home,Budget,Explore,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To share travel stories and view with friends and family back home,Budget,Culture,An overnight backpacking trip on a volcano,4,Male,No,5,4,6,4,4,Japan/South Korea
To learn more about a language or a culture,Variety of activities at destination,Architecture,An overnight backpacking trip on a volcano,2,Female,Yes,7,6,5,5,5,Spain/Portugal
To learn more about a language or a culture,Variety of activities at destination,Museum,An overnight backpacking trip on a volcano,2,Female,Yes,7,6,5,5,5,Spain/Portugal
To learn more about a language or a culture,Variety of activities at destination,Walk,An overnight backpacking trip on a volcano,2,Female,Yes,7,6,5,5,5,Spain/Portugal
To learn more about a language or a culture,Variety of activities at destination,Art Gallery,An overnight backpacking trip on a volcano,2,Female,Yes,7,6,5,5,5,Spain/Portugal
To see the wonders of nature,Time,Park,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To see the wonders of nature,Time,Food,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To see the wonders of nature,Time,History,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To see the wonders of nature,Time,Landmark,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To see the wonders of nature,Time,Tourist Attractions,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To see the wonders of nature,Time,City,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To see the wonders of nature,Time,Beach,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To learn more about a language or a culture,Time,Park,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To learn more about a language or a culture,Time,Food,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To learn more about a language or a culture,Time,History,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To learn more about a language or a culture,Time,Landmark,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To learn more about a language or a culture,Time,Tourist Attractions,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To learn more about a language or a culture,Time,City,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To learn more about a language or a culture,Time,Beach,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To relax and escape work and responsibilities,Time,Park,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To relax and escape work and responsibilities,Time,Food,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To relax and escape work and responsibilities,Time,History,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To relax and escape work and responsibilities,Time,Landmark,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To relax and escape work and responsibilities,Time,Tourist Attractions,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To relax and escape work and responsibilities,Time,City,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To relax and escape work and responsibilities,Time,Beach,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To explore architecture and history,Time,Park,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To explore architecture and history,Time,Food,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To explore architecture and history,Time,History,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To explore architecture and history,Time,Landmark,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To explore architecture and history,Time,Tourist Attractions,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To explore architecture and history,Time,City,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To explore architecture and history,Time,Beach,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To go on an adventure,Time,Park,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To go on an adventure,Time,Food,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To go on an adventure,Time,History,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To go on an adventure,Time,Landmark,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To go on an adventure,Time,Tourist Attractions,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To go on an adventure,Time,City,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To go on an adventure,Time,Beach,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To look at and appreciate beautiful places,Time,Park,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To look at and appreciate beautiful places,Time,Food,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To look at and appreciate beautiful places,Time,History,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To look at and appreciate beautiful places,Time,Landmark,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To look at and appreciate beautiful places,Time,Tourist Attractions,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To look at and appreciate beautiful places,Time,City,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To look at and appreciate beautiful places,Time,Beach,A big metropolitan city,1,Female,Yes,6,5,4,3,3,Spain/Portugal
To see the wonders of nature,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To see the wonders of nature,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To see the wonders of nature,Variety of activities at destination,Landmark,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To see the wonders of nature,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To see the wonders of nature,Variety of activities at destination,Seaside,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To see the wonders of nature,Variety of activities at destination,Walk,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To see the wonders of nature,Variety of activities at destination,Old Town,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To see the wonders of nature,Variety of activities at destination,Sunshine,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To relax and escape work and responsibilities,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To relax and escape work and responsibilities,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To relax and escape work and responsibilities,Variety of activities at destination,Landmark,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To relax and escape work and responsibilities,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To relax and escape work and responsibilities,Variety of activities at destination,Seaside,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To relax and escape work and responsibilities,Variety of activities at destination,Walk,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To relax and escape work and responsibilities,Variety of activities at destination,Old Town,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To relax and escape work and responsibilities,Variety of activities at destination,Sunshine,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To spend quality time with family/friends,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To spend quality time with family/friends,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To spend quality time with family/friends,Variety of activities at destination,Landmark,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To spend quality time with family/friends,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To spend quality time with family/friends,Variety of activities at destination,Seaside,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To spend quality time with family/friends,Variety of activities at destination,Walk,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To spend quality time with family/friends,Variety of activities at destination,Old Town,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To spend quality time with family/friends,Variety of activities at destination,Sunshine,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To explore architecture and history,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To explore architecture and history,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To explore architecture and history,Variety of activities at destination,Landmark,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To explore architecture and history,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To explore architecture and history,Variety of activities at destination,Seaside,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To explore architecture and history,Variety of activities at destination,Walk,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To explore architecture and history,Variety of activities at destination,Old Town,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To explore architecture and history,Variety of activities at destination,Sunshine,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To go on an adventure,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To go on an adventure,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To go on an adventure,Variety of activities at destination,Landmark,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To go on an adventure,Variety of activities at destination,Tourist Attractions,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
To go on an adventure,Variety of activities at destination,Seaside,An old city with interesting architecture,4,Female,Yes,6,4,5,6,3,Spain/Portugal
